cave	['K', 'EY1', 'V']
full	['F', 'UH1', 'L']
of	['AH0', 'V']
crystals	['K', 'R', 'IH1', 'S', 'T', 'AH0', 'L', 'Z']
and	['AE1', 'N', 'D']
served	['S', 'ER1', 'V', 'D']
nine	['N', 'AY1', 'N']
hundred	['HH', 'AH1', 'N', 'D', 'ER0', 'D']
dollars	['D', 'AO1', 'L', 'ER0', 'Z']
zero	['Z', 'IY1', 'R', 'OW0']
cents	['S', 'EH1', 'N', 'S']
a	['EY1']
bottle	['B', 'AA1', 'T', 'AH0', 'L']
wine	['W', 'AY1', 'N']
Senator	['S', 'EH1', 'N', 'AH0', 'T', 'ER0']
Elizabeth	['IH0', 'L', 'IH1', 'Z', 'AH0', 'B', 'IH0', 'TH']
Warren	['W', 'AO1', 'R', 'AH0', 'N']
of	['AH0', 'V']
Massachusetts	['M', 'AE2', 'S', 'AH0', 'CH', 'UW1', 'S', 'AH0', 'T', 'S']
said	['S', 'EH1', 'D']
on	['AO1', 'N']
Thursday	['TH', 'ER1', 'Z', 'D', 'IY0']
She	['SH', 'IY1']
later	['L', 'EY1', 'T', 'ER0']
said	['S', 'EH1', 'D']
Billionaires	['B', 'IH2', 'L', 'Y', 'AH0', 'N', 'EH1', 'R', 'Z']
in	['IH1', 'N']
wine	['W', 'AY1', 'N']
caves	['K', 'EY1', 'V', 'Z']
should	['SH', 'UH1', 'D']
not	['N', 'AA1', 'T']
pick	['P', 'IH1', 'K']
the	['DH', 'IY0']
next	['N', 'EH1', 'K', 'S']
president	['P', 'R', 'EH1', 'Z', 'IH0', 'D', 'AH0', 'N', 'T']
of	['AH0', 'V']
the	['DH', 'IY0']
United	['Y', 'UW0', 'N', 'AY1', 'T', 'IH0', 'D']
States	['S', 'T', 'EY1', 'T', 'S']
After	['AE1', 'F', 'T', 'ER0']
a	['EY1']
long	['L', 'AO1', 'NG']
back	['B', 'AE1', 'K']
and	['AE1', 'N', 'D']
forth	['F', 'AO1', 'R', 'TH']
between	['B', 'IY0', 'T', 'W', 'IY1', 'N']
Warren	['W', 'AO1', 'R', 'AH0', 'N']
and	['AE1', 'N', 'D']
Buttigieg	Buttigieg
Senator	['S', 'EH1', 'N', 'AH0', 'T', 'ER0']
Amy	['EY1', 'M', 'IY0']
Klobuchar	Klobuchar
of	['AH0', 'V']
Minnesota	['M', 'IH2', 'N', 'IH0', 'S', 'OW1', 'T', 'AH0']
said	['S', 'EH1', 'D']
I	['AY1']
did	['D', 'IH0', 'D']
not	['N', 'AA1', 'T']
come	['K', 'AH1', 'M']
here	['HH', 'IY1', 'R']
to	['T', 'AH0']
listen	['L', 'IH1', 'S', 'AH0', 'N']
to	['T', 'AH0']
this	['DH', 'IH0', 'S']
argument	['AA1', 'R', 'G', 'Y', 'AH0', 'M', 'AH0', 'N', 'T']
I	['AY1']
came	['K', 'EY1', 'M']
here	['HH', 'IY1', 'R']
to	['T', 'AH0']
make	['M', 'EY1', 'K']
a	['EY1']
case	['K', 'EY1', 'S']
for	['F', 'R', 'ER0']
progress	['P', 'R', 'OW0', 'G', 'R', 'EH1', 'S']
And	['AE1', 'N', 'D']
I	['AY1']
have	['HH', 'AE1', 'V']
